TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_STATUS_DESTINATION,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,지역,split
e004720,1,2.4942286095417687,서울,-0.656134603197128,0.7384036081045557,0.8092480412768225,0.453221418277183,0.20059004361032523,0.1562224102896964,0.6107578101120258,0.031613686147981275,5.0,수도권,Training
e000914,1,-1.0240854986266534,서울,-0.05578287218818784,1.9270659361698805,-0.4438559512049019,-0.18109532534784947,-0.9181132881994429,-1.0235969594494985,0.10933083085882095,-2.2472991717821738,3.75,수도권,Training
e003564,1,-0.1445069715845479,경기,-1.2564863342060681,-1.0445898839934316,-1.070407947445764,-0.18109532534784947,-0.9181132881994429,-1.613506644319096,-1.3949501069007937,1.1710701151130587,4.333333333333333,수도권,Training
e000396,1,-0.1445069715845479,인천,-0.05578287218818784,-1.0445898839934316,-0.4438559512049019,1.0875381619022153,1.3192933754200935,1.3360417800288913,-1.3949501069007937,0.60134190063052,4.111111111111111,수도권,Training
e001890,0,-1.0240854986266534,경기,1.7452723208386325,0.14407244407189337,-0.4438559512049019,-0.18109532534784947,1.3192933754200935,-0.433687274579901,0.6107578101120258,0.60134190063052,4.0,수도권,Training
e007797,0,-0.1445069715845479,경기,-0.656134603197128,-1.0445898839934316,-0.4438559512049019,-0.8154120689728819,-1.477464954104327,-1.613506644319096,0.10933083085882095,0.60134190063052,3.6,수도권,Training
e003039,1,-0.1445069715845479,경기,-0.656134603197128,-1.0445898839934316,2.6889040299994087,-0.8154120689728819,-0.9181132881994429,1.9259514648984888,0.10933083085882095,0.031613686147981275,2.75,수도권,Training
e000782,0,1.614650082499663,서울,0.5445688588207523,2.521397100202543,2.6889040299994087,-0.8154120689728819,0.7599417095152093,1.9259514648984888,-1.3949501069007937,-1.677570957299635,4.0,수도권,Training
e008478,1,-1.0240854986266534,경기,-0.656134603197128,-0.45025871996076905,-0.4438559512049019,-0.8154120689728819,0.20059004361032523,0.1562224102896964,1.1121847893652306,-1.1078427428170963,4.8,수도권,Training
e000655,0,1.614650082499663,경기,-0.05578287218818784,-0.45025871996076905,-0.4438559512049019,0.453221418277183,-0.3587616222945589,0.7461320951592938,-0.3920961483943839,-1.677570957299635,4.0,수도권,Training
e006837,1,2.4942286095417687,경기,1.1449205898296924,0.7384036081045557,1.4358000375176845,-0.8154120689728819,0.20059004361032523,0.7461320951592938,-0.8935231276475888,1.1710701151130587,2.5,수도권,Training
e008666,0,0.7350715554575575,서울,-1.2564863342060681,-1.0445898839934316,2.062352033758547,-0.8154120689728819,1.3192933754200935,1.3360417800288913,1.1121847893652306,0.031613686147981275,4.5,수도권,Training
e002058,0,2.4942286095417687,경기,-1.2564863342060681,2.521397100202543,-1.070407947445764,-1.4497288125979144,-1.477464954104327,1.9259514648984888,1.6136117686184355,1.1710701151130587,4.2,수도권,Training
e010598,1,-1.0240854986266534,서울,-0.05578287218818784,-0.45025871996076905,-0.4438559512049019,-0.8154120689728819,-0.9181132881994429,1.3360417800288913,1.1121847893652306,1.1710701151130587,4.333333333333333,수도권,Training
e007838,1,-0.1445069715845479,서울,2.345624051847573,1.9270659361698805,2.6889040299994087,2.35617164915228,1.8786450413249776,1.3360417800288913,-0.8935231276475888,0.60134190063052,5.0,수도권,Training
e007403,1,-1.0240854986266534,서울,1.7452723208386325,1.9270659361698805,0.8092480412768225,-0.18109532534784947,0.20059004361032523,0.7461320951592938,-0.8935231276475888,0.60134190063052,5.0,수도권,Training
e007169,1,0.7350715554575575,서울,-0.656134603197128,-0.45025871996076905,-1.070407947445764,1.7218549055272478,1.3192933754200935,0.7461320951592938,0.10933083085882095,0.60134190063052,5.0,수도권,Training
e001267,0,0.7350715554575575,경기,0.5445688588207523,0.14407244407189337,-0.4438559512049019,-0.18109532534784947,-0.9181132881994429,0.7461320951592938,-0.8935231276475888,0.60134190063052,4.0,수도권,Training
e005765,0,0.7350715554575575,서울,0.5445688588207523,-0.45025871996076905,0.1826960450359603,-0.8154120689728819,-0.3587616222945589,0.7461320951592938,0.10933083085882095,-1.677570957299635,4.0,수도권,Training
e001538,0,0.7350715554575575,경기,-0.656134603197128,-1.0445898839934316,-1.070407947445764,0.453221418277183,-1.477464954104327,-1.613506644319096,-1.3949501069007937,1.1710701151130587,5.0,수도권,Training
e000608,1,-1.0240854986266534,서울,0.5445688588207523,-0.45025871996076905,0.8092480412768225,0.453221418277183,0.7599417095152093,0.1562224102896964,1.1121847893652306,0.60134190063052,4.5,수도권,Training
e003810,1,-0.1445069715845479,경기,-1.2564863342060681,-1.0445898839934316,-1.070407947445764,-1.4497288125979144,-1.477464954104327,-1.613506644319096,-1.3949501069007937,0.60134190063052,4.0,수도권,Training
e010900,0,-1.0240854986266534,경기,-0.05578287218818784,-1.0445898839934316,1.4358000375176845,-0.18109532534784947,-0.3587616222945589,0.1562224102896964,0.6107578101120258,-1.1078427428170963,4.0,수도권,Training
e002491,0,-1.0240854986266534,경기,1.1449205898296924,1.3327347721372182,1.4358000375176845,1.7218549055272478,1.3192933754200935,1.3360417800288913,1.1121847893652306,0.60134190063052,4.5,수도권,Training
e000556,0,-0.1445069715845479,경기,-0.05578287218818784,-0.45025871996076905,-0.4438559512049019,-0.8154120689728819,-0.9181132881994429,-0.433687274579901,0.6107578101120258,0.60134190063052,4.0,수도권,Training
