TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
g011127,11,여,30,6,1,2,2,3,,3,8,3,4,42,42150,26,26500,43,43150,6,4,1,2,4,3,1,6,서울특별시,대전,2인 가족 여행,2023-09-16~2023-09-16,1,3,5,1
g006529,41,여,20,4,1,1,3,12,,3,4,3,4,26,26350,50,50110,50,50130,6,2,3,3,3,5,6,3,경기도,광주,2인 여행(가족 외),2023-08-15~2023-08-15,1,3,7,1
g000487,41,남,30,5,1,2,1,3,,5,,2,2,42,42770,42,42210,46,46770,1,1,1,4,1,1,1,7,경기도,충남,나홀로 여행,2023-05-25~2023-05-27,5,1,7,0
g011816,41,남,20,6,1,1,3,3,,5,6,2,1,42,42820,43,43110,30,30230,4,4,4,4,4,4,4,4,경기도,대전,2인 여행(가족 외),2023-09-24~2023-09-24,1,3,8,1
f009789,26,남,30,6,1,1,4,3,,4,9,2,1,48,48840,48,48240,48,48310,1,1,1,1,1,2,4,6,서울특별시,경남,2인 여행(가족 외),2023-08-25~2023-08-26,5,9,2,1
g012530,45,남,40,6,1,1,2,13,,7,9,2,4,46,46130,30,30200,48,48840,4,3,2,4,6,3,2,6,전라북도,충남,3인 이상 여행(가족 외),2023-09-17~2023-09-17,3,5,1,2
g010836,11,남,20,6,1,1,4,2,,5,11,3,5,26,26350,48,48310,42,42830,3,6,2,5,5,6,2,5,서울특별시,충남,2인 여행(가족 외),2023-09-02~2023-09-02,3,7,1,1
g002753,43,여,20,4,1,1,4,12,,2,6,4,1,26,26500,42,42150,50,50110,6,1,1,2,2,6,7,3,충청북도,충남,2인 여행(가족 외),2023-07-03~2023-07-04,2,1,3,1
g000804,41,남,40,6,1,2,4,3,,6,6,2,2,42,42130,42,42760,41,41650,1,3,2,5,3,3,2,6,경기도,충남,자녀 동반 여행,2023-06-02~2023-06-04,8,7,1,3
g001645,30,남,50,6,1,2,5,13,,4,6,2,1,46,46130,26,26440,42,42210,2,1,3,3,4,6,6,5,대전광역시,전북,자녀 동반 여행,2023-06-03~2023-06-04,2,1,9,4
g005300,28,남,40,8,5,2,2,12,,3,5,2,2,41,41280,41,41190,28,28185,2,6,2,2,4,4,2,6,인천광역시,대전,2인 가족 여행,2023-08-18~2023-08-19,3,,,1
g000231,42,남,30,6,1,2,2,2,,3,6,2,3,11,11140,41,41670,43,43150,4,6,2,2,5,2,6,6,강원도,대전,2인 가족 여행,2023-05-27~2023-05-28,1,3,7,1
g001114,41,남,20,6,1,1,1,2,,4,,3,3,48,48220,27,27260,42,42150,6,1,2,1,2,6,1,6,경기도,대전,2인 여행(가족 외),2023-05-27~2023-05-28,3,8,1,1
g012617,29,남,20,4,1,1,4,12,,2,11,3,6,11,11650,26,26350,50,50110,6,3,1,6,5,7,5,6,광주광역시,전북,2인 여행(가족 외),2023-09-17~2023-09-17,3,1,7,1
g002169,27,남,30,6,1,1,3,3,,4,9,2,1,47,47130,47,47110,48,48890,2,5,6,6,2,6,2,3,대구광역시,전북,나홀로 여행,2023-06-17~2023-06-18,1,2,6,0
g005187,44,남,30,5,1,1,3,4,,4,6,2,1,46,46710,29,29200,11,11680,1,1,4,3,1,1,4,7,충청남도,전남,2인 여행(가족 외),2023-08-09~2023-08-11,2,7,1,1
g006029,44,여,30,5,1,1,1,4,,4,,3,3,44,44825,42,42210,44,44270,4,5,5,5,7,4,6,2,충청남도,충남,3대 동반 여행(친척 포함),2023-08-14~2023-08-15,1,3,2,4
g011530,11,남,60,7,5,2,3,2,,1,10,3,4,42,42830,50,50130,41,41480,1,4,3,4,3,3,3,4,서울특별시,충남,부모 동반 여행,2023-09-02~2023-09-02,10,,,2
g003645,29,남,20,6,2,1,4,12,,2,6,3,5,11,11440,26,26350,11,11215,3,3,3,5,5,5,3,3,광주광역시,전북,2인 여행(가족 외),2023-07-22~2023-07-23,3,1,2,1
